iter	Passed	Remaining
365	10497	3843
366	10526	3814
367	10554	3785
368	10586	3758
369	10617	3730
370	10641	3700
371	10664	3669
372	10686	3638
373	10709	3608
374	10733	3577
375	10757	3547
376	10781	3517
377	10804	3487
378	10830	3457
379	10860	3429
380	10889	3401
381	10921	3373
382	10948	3344
383	10976	3315
384	11010	3288
385	11042	3261
386	11078	3234
387	11115	3208
388	11150	3181
389	11182	3154
390	11216	3126
391	11249	3099
392	11284	3072
393	11322	3046
394	11358	3019
395	11390	2991
396	11427	2964
397	11464	2938
398	11501	2911
399	11533	2883
400	11569	2856
401	11604	2829
